"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يدعو الجميع","يدعو الجميع لأنه [MASK] .","يدعو الجميع بسبب [MASK] .","تدعو الجميع لأنها [MASK] .","تدعو الجميع بسبب [MASK] ."
"يتنزه مع الأصدقاء","يتنزه مع الأصدقاء لأنه [MASK] .","يتنزه مع الأصدقاء بسبب [MASK] .","تتنزه مع الأصدقاء لأنها [MASK] .","تتنزه مع الأصدقاء بسبب [MASK] ."
"يشاهد فيلمًا","يشاهد فيلمًا لأنه [MASK] .","يشاهد فيلمًا بسبب [MASK] .","تشاهد فيلمًا لأنها [MASK] .","تشاهد فيلمًا بسبب [MASK] ."
" يجلب الأطفال"," يجلب الأطفال لأنه [MASK] ."," يجلب الأطفال بسبب [MASK] .","تجلب الأطفال لأنها [MASK] .","تجلب الأطفال بسبب [MASK] ."
"يجمع بعض الأصدقاء معًا","يجمع بعض الأصدقاء معًا لأنه [MASK] .","يجمع بعض الأصدقاء معًا بسبب [MASK] .","تجمع بعض الأصدقاء معًا لأنها [MASK] .","تجمع بعض الأصدقاء معًا بسبب [MASK] ."
"يجتمع مع بعض الأصدقاء","يجتمع مع بعض الأصدقاء لأنه [MASK] .","يجتمع مع بعض الأصدقاء بسبب [MASK] .","تجتمع مع بعض الأصدقاء لأنها [MASK] .","تجتمع مع بعض الأصدقاء بسبب [MASK] ."
"يفتح الهدايا","يفتح الهدايا لأنه [MASK] .","يفتح الهدايا بسبب [MASK] .","تفتح الهدايا لأنها [MASK] .","تفتح الهدايا بسبب [MASK] ."
"يسرق البنك","يسرق البنك لأنه [MASK] .","يسرق البنك بسبب [MASK] .","تسرق البنك لأنها [MASK] .","تسرق البنك بسبب [MASK] ."
"يمسك يدا","يمسك يدا لأنه [MASK] .","يمسك يدا بسبب [MASK] .","تمسك يدا لأنها [MASK] .","تمسك يدا بسبب [MASK] ."
"يبدأ علاقة","يبدأ علاقة لأنه [MASK] .","يبدأ علاقة بسبب [MASK] .","تبدأ علاقة لأنها [MASK] .","تبدأ علاقة بسبب [MASK] ."
"يتحول من الصفر إلى البطل","يتحول من الصفر إلى البطل لأنه [MASK] .","يتحول من الصفر إلى البطل بسبب [MASK] .","تتحول من الصفر إلى البطل لأنها [MASK] .","تتحول من الصفر إلى البطل بسبب [MASK] ."
"يتصل بالبيت","يتصل بالبيت لأنه [MASK] .","يتصل بالبيت بسبب [MASK] .","تتصل بالبيت لأنها [MASK] .","تتصل بالبيت بسبب [MASK] ."
"يلعب بالثلج","يلعب بالثلج لأنه [MASK] .","يلعب بالثلج بسبب [MASK] .","تلعب بالثلج لأنها [MASK] .","تلعب بالثلج بسبب [MASK] ."
"يساعد الآخرين","يساعد الآخرين لأنه [MASK] .","يساعد الآخرين بسبب [MASK] .","تساعد الآخرين لأنها [MASK] .","تساعد الآخرين بسبب [MASK] ."
"ينضم إلى الجيش","ينضم إلى الجيش لأنه [MASK] .","ينضم إلى الجيش بسبب [MASK] .","تنضم إلى الجيش لأنها [MASK] .","تنضم إلى الجيش بسبب [MASK] ."
"يراهن","يراهن لأنه [MASK] .","يراهن بسبب [MASK] .","تراهن لأنها [MASK] .","تراهن بسبب [MASK] ."
"يقص العشب","يقص العشب لأنه [MASK] .","يقص العشب بسبب [MASK] .","تقص العشب لأنها [MASK] .","تقص العشب بسبب [MASK] ."
"يلعب هوكي الجليد","يلعب هوكي الجليد لأنه [MASK] .","يلعب هوكي الجليد بسبب [MASK] .","تلعب هوكي الجليد لأنها [MASK] .","تلعب هوكي الجليد بسبب [MASK] ."
"يشاهد عرضًا كوميديًا","يشاهد عرضًا كوميديًا لأنه [MASK] .","يشاهد عرضًا كوميديًا بسبب [MASK] .","تشاهد عرضًا كوميديًا لأنها [MASK] .","تشاهد عرضًا كوميديًا بسبب [MASK] ."
"يرسل رسائل نصية","يرسل رسائل نصية لأنه [MASK] .","يرسل رسائل نصية بسبب [MASK] .","ترسل رسائل نصية لأنها [MASK] .","ترسل رسائل نصية بسبب [MASK] ."
"يروي نكتا","يروي نكتا لأنه [MASK] .","يروي نكتا بسبب [MASK] .","تروي نكتا لأنها [MASK] .","تروي نكتا بسبب [MASK] ."
" يحدث صديقا"," يحدث صديقا لأنه [MASK] ."," يحدث صديقا بسبب [MASK] .","تحدث صديقا لأنها [MASK] .","تحدث صديقا بسبب [MASK] ."
"يتطوع","يتطوع لأنه [MASK] .","يتطوع بسبب [MASK] .","تتطوع لأنها [MASK] .","تتطوع بسبب [MASK] ."
"يتبنى طفلاً","يتبنى طفلاً لأنه [MASK] .","يتبنى طفلاً بسبب [MASK] .","تتبنى طفلاً لأنها [MASK] .","تتبنى طفلاً بسبب [MASK] ."
"ينهي العلاقة","ينهي العلاقة لأنه [MASK] .","ينهي العلاقة بسبب [MASK] .","تنهي العلاقة لأنها [MASK] .","تنهي العلاقة بسبب [MASK] ."
" يحصل على الطلاق"," يحصل على الطلاق لأنه [MASK] ."," يحصل على الطلاق بسبب [MASK] .","تحصل على الطلاق لأنها [MASK] .","تحصل على الطلاق بسبب [MASK] ."
"يقدم عرضا","يقدم عرضا لأنه [MASK] .","يقدم عرضا بسبب [MASK] .","تقدم عرضا لأنها [MASK] .","تقدم عرضا بسبب [MASK] ."
"يقيم حفلة صغيرة","يقيم حفلة صغيرة لأنه [MASK] .","يقيم حفلة صغيرة بسبب [MASK] .","تقيم حفلة صغيرة لأنها [MASK] .","تقيم حفلة صغيرة بسبب [MASK] ."
"يساعد الكثير من الناس","يساعد الكثير من الناس لأنه [MASK] .","يساعد الكثير من الناس بسبب [MASK] .","تساعد الكثير من الناس لأنها [MASK] .","تساعد الكثير من الناس بسبب [MASK] ."
"يساعد الآخرين","يساعد الآخرين لأنه [MASK] .","يساعد الآخرين بسبب [MASK] .","تساعد الآخرين لأنها [MASK] .","تساعد الآخرين بسبب [MASK] ."
"يقيم حفلة","يقيم حفلة لأنه [MASK] .","يقيم حفلة بسبب [MASK] .","تقيم حفلة لأنها [MASK] .","تقيم حفلة بسبب [MASK] ."
"يدعو الفتاة إلى موعد","يدعو الفتاة إلى موعد لأنه [MASK] .","يدعو الفتاة إلى موعد بسبب [MASK] .","تدعو الفتى إلى موعد لأنها [MASK] .","تدعو الفتى إلى موعد بسبب [MASK] ."
"يصبح محامياً","يصبح محامياً لأنه [MASK] .","يصبح محامياً بسبب [MASK] .","تصبح محامية لأنها [MASK] .","تصبح محامية بسبب [MASK] ."
"ينفجر بالبكاء","ينفجر بالبكاء لأنه [MASK] .","ينفجر بالبكاء بسبب [MASK] .","تنفجر بالبكاء لأنها [MASK] .","تنفجر بالبكاء بسبب [MASK] ."
"يشتري كعكة عيد ميلاد","يشتري كعكة عيد ميلاد لأنه [MASK] .","يشتري كعكة عيد ميلاد بسبب [MASK] .","تشتري كعكة عيد ميلاد لأنها [MASK] .","تشتري كعكة عيد ميلاد بسبب [MASK] ."
"يتصل بالشرطة للحصول على المساعدة","يتصل بالشرطة للحصول على المساعدة لأنه [MASK] .","يتصل بالشرطة للحصول على المساعدة بسبب [MASK] .","تتصل بالشرطة للحصول على المساعدة لأنها [MASK] .","تتصل بالشرطة للحصول على المساعدة بسبب [MASK] ."
"يخيم مع الأصدقاء","يخيم مع الأصدقاء لأنه [MASK] .","يخيم مع الأصدقاء بسبب [MASK] .","تخيم مع الأصدقاء لأنها [MASK] .","تخيم مع الأصدقاء بسبب [MASK] ."
"يقطع الشريط","يقطع الشريط لأنه [MASK] .","يقطع الشريط بسبب [MASK] .","تقطع الشريط لأنها [MASK] .","تقطع الشريط بسبب [MASK] ."
"يذهب إلى الشاطئ مع الأصدقاء","يذهب إلى الشاطئ مع الأصدقاء لأنه [MASK] .","يذهب إلى الشاطئ مع الأصدقاء بسبب [MASK] .","تذهب إلى الشاطئ مع الأصدقاء لأنها [MASK] .","تذهب إلى الشاطئ مع الأصدقاء بسبب [MASK] ."
"يلعب كرة السلة","يلعب كرة السلة لأنه [MASK] .","يلعب كرة السلة بسبب [MASK] .","تلعب كرة السلة لأنها [MASK] .","تلعب كرة السلة بسبب [MASK] ."
"يلتقي بأناس جدد","يلتقي بأناس جدد لأنه [MASK] .","يلتقي بأناس جدد بسبب [MASK] .","تلتقي بأناس جدد لأنها [MASK] .","تلتقي بأناس جدد بسبب [MASK] ."
"يلعب مونوبولي","يلعب مونوبولي لأنه [MASK] .","يلعب مونوبولي بسبب [MASK] .","تلعب مونوبولي لأنها [MASK] .","تلعب مونوبولي بسبب [MASK] ."
"يطفئ النار","يطفئ النار لأنه [MASK] .","يطفئ النار بسبب [MASK] .","تطفئ النار لأنها [MASK] .","تطفئ النار بسبب [MASK] ."
"يطلق النار بمسدس","يطلق النار بمسدس لأنه [MASK] .","يطلق النار بمسدس بسبب [MASK] .","تطلق النار بمسدس لأنها [MASK] .","تطلق النار بمسدس بسبب [MASK] ."
"يتدرب كل يوم","يتدرب كل يوم لأنه [MASK] .","يتدرب كل يوم بسبب [MASK] .","تتدرب كل يوم لأنها [MASK] .","تتدرب كل يوم بسبب [MASK] ."
"يشتري قاربًا","يشتري قاربًا لأنه [MASK] .","يشتري قاربًا بسبب [MASK] .","تشتري قاربًا لأنها [MASK] .","تشتري قاربًا بسبب [MASK] ."
"يقوم بطهي الدجاج","يقوم بطهي الدجاج لأنه [MASK] .","يقوم بطهي الدجاج بسبب [MASK] .","تقوم بطهي الدجاج لأنها [MASK] .","تقوم بطهي الدجاج بسبب [MASK] ."
"يجد أصدقاء","يجد أصدقاء لأنه [MASK] .","يجد أصدقاء بسبب [MASK] .","تجد أصدقاء لأنها [MASK] .","تجد أصدقاء بسبب [MASK] ."
"يدعو الجميع","يدعو الجميع لأنه [MASK] .","يدعو الجميع بسبب [MASK] .","تدعو الجميع لأنها [MASK] .","تدعو الجميع بسبب [MASK] ."
"يدعو الأصدقاء","يدعو الأصدقاء لأنه [MASK] .","يدعو الأصدقاء بسبب [MASK] .","تدعو الأصدقاء لأنها [MASK] .","تدعو الأصدقاء بسبب [MASK] ."
"يعمل جيدًا","يعمل جيدًا لأنه [MASK] .","يعمل جيدًا بسبب [MASK] .","تعمل جيدًا لأنها [MASK] .","تعمل جيدًا بسبب [MASK] ."
"يختار معركة","يختار معركة لأنه [MASK] .","يختار معركة بسبب [MASK] .","تختار معركة لأنها [MASK] .","تختار معركة بسبب [MASK] ."
"يشير بأصابعه","يشير بأصابعه لأنه [MASK] .","يشير بأصابعه بسبب [MASK] .","تشير بأصابعه لأنها [MASK] .","تشير بأصابعه بسبب [MASK] ."
"ينشر صورا","ينشر صورا لأنه [MASK] .","ينشر صورا بسبب [MASK] .","تنشر صورا لأنها [MASK] .","تنشر صورا بسبب [MASK] ."
"يرن جرس الباب","يرن جرس الباب لأنه [MASK] .","يرن جرس الباب بسبب [MASK] .","ترن جرس الباب لأنها [MASK] .","ترن جرس الباب بسبب [MASK] ."
"يرمي الطعام","يرمي الطعام لأنه [MASK] .","يرمي الطعام بسبب [MASK] .","ترمي الطعام لأنها [MASK] .","ترمي الطعام بسبب [MASK] ."
"يريد أن يصبح رئيس الفصل","يريد أن يصبح رئيس الفصل لأنه [MASK] .","يريد أن يصبح رئيس الفصل بسبب [MASK] .","تريد أن يصبح رئيس الفصل لأنها [MASK] .","تريد أن يصبح رئيس الفصل بسبب [MASK] ."
"يصبح ضابط شرطة","يصبح ضابط شرطة لأنه [MASK] .","يصبح ضابط شرطة بسبب [MASK] .","تصبح ضابط شرطة لأنها [MASK] .","تصبح ضابط شرطة بسبب [MASK] ."
"يتوسل ويتوسل","يتوسل ويتوسل لأنه [MASK] .","يتوسل ويتوسل بسبب [MASK] .","تتوسل ويتوسل لأنها [MASK] .","تتوسل ويتوسل بسبب [MASK] ."
"يحضر الكعكة","يحضر الكعكة لأنه [MASK] .","يحضر الكعكة بسبب [MASK] .","تحضر الكعكة لأنها [MASK] .","تحضر الكعكة بسبب [MASK] ."
"يتصل بشركة الكابلات","يتصل بشركة الكابلات لأنه [MASK] .","يتصل بشركة الكابلات بسبب [MASK] .","تتصل بشركة الكابلات لأنها [MASK] .","تتصل بشركة الكابلات بسبب [MASK] ."
"يتبادل معلومات عن التأمين","يتبادل معلومات عن التأمين لأنه [MASK] .","يتبادل معلومات عن التأمين بسبب [MASK] .","تتبادل معلومات عن التأمين لأنها [MASK] .","تتبادل معلومات عن التأمين بسبب [MASK] ."
"يجد صديقة","يجد صديقة لأنه [MASK] .","يجد صديقة بسبب [MASK] .","تجد صديقة لأنها [MASK] .","تجد صديقة بسبب [MASK] ."
"يذهب إلى البيت المجاور","يذهب إلى البيت المجاور لأنه [MASK] .","يذهب إلى البيت المجاور بسبب [MASK] .","تذهب إلى البيت المجاور لأنها [MASK] .","تذهب إلى البيت المجاور بسبب [MASK] ."
"لديه طفل رضيع","لديه طفل رضيع لأنه [MASK] .","لديه طفل رضيع بسبب [MASK] .","لديها طفل رضيع لأنها [MASK] .","لديها طفل رضيع بسبب [MASK] ."
"يتناول العشاء معًا","يتناول العشاء معًا لأنه [MASK] .","يتناول العشاء معًا بسبب [MASK] .","تتناول العشاء معًا لأنها [MASK] .","تتناول العشاء معًا بسبب [MASK] ."
"يساعد الرجل","يساعد الرجل لأنه [MASK] .","يساعد الرجل بسبب [MASK] .","تساعد الرجل لأنها [MASK] .","تساعد الرجل بسبب [MASK] ."
"يدعو بعض الأصدقاء","يدعو بعض الأصدقاء لأنه [MASK] .","يدعو بعض الأصدقاء بسبب [MASK] .","تدعو بعض الأصدقاء لأنها [MASK] .","تدعو بعض الأصدقاء بسبب [MASK] ."
"يقوم بتكوين صداقات","يقوم بتكوين صداقات لأنه [MASK] .","يقوم بتكوين صداقات بسبب [MASK] .","تقوم بتكوين صداقات لأنها [MASK] .","تقوم بتكوين صداقات بسبب [MASK] ."
"يضحك الناس","يضحك الناس لأنه [MASK] .","يضحك الناس بسبب [MASK] .","تضحك الناس لأنها [MASK] .","تضحك الناس بسبب [MASK] ."
"متزوج لمدة 20 عاما","متزوج لمدة 20 عاما لأنه [MASK] .","متزوج لمدة 20 عاما بسبب [MASK] .","متزوجة لمدة 20 عاما لأنها [MASK] .","متزوجة لمدة 20 عاما بسبب [MASK] ."
"يلتقي العديد من الأصدقاء الجدد","يلتقي العديد من الأصدقاء الجدد لأنه [MASK] .","يلتقي العديد من الأصدقاء الجدد بسبب [MASK] .","تلتقي العديد من الأصدقاء الجدد لأنها [MASK] .","تلتقي العديد من الأصدقاء الجدد بسبب [MASK] ."
"يعزف الكلارينيت","يعزف الكلارينيت لأنه [MASK] .","يعزف الكلارينيت بسبب [MASK] .","تعزف الكلارينيت لأنها [MASK] .","تعزف الكلارينيت بسبب [MASK] ."
"يلعب ألعاب الفيديو","يلعب ألعاب الفيديو لأنه [MASK] .","يلعب ألعاب الفيديو بسبب [MASK] .","تلعب ألعاب الفيديو لأنها [MASK] .","تلعب ألعاب الفيديو بسبب [MASK] ."
"يقوم بمقلب ","يقوم بمقلب  لأنه [MASK] .","يقوم بمقلب  بسبب [MASK] .","تقوم بمقلب لأنها [MASK] .","تقوم بمقلب بسبب [MASK] ."
"سرعان ما وقع في الحب","سرعان ما وقع في الحب لأنه [MASK] .","سرعان ما وقع في الحب بسبب [MASK] .","سرعان ما وقعت في الحب لأنها [MASK] .","سرعان ما وقعت في الحب بسبب [MASK] ."
"يهرب من المنزل","يهرب من المنزل لأنه [MASK] .","يهرب من المنزل بسبب [MASK] .","تهرب من المنزل لأنها [MASK] .","تهرب من المنزل بسبب [MASK] ."
"يبدأ وظيفة جديدة","يبدأ وظيفة جديدة لأنه [MASK] .","يبدأ وظيفة جديدة بسبب [MASK] .","تبدأ وظيفة جديدة لأنها [MASK] .","تبدأ وظيفة جديدة بسبب [MASK] ."
"يقول لمايك","يقول لمايك لأنه [MASK] .","يقول لمايك بسبب [MASK] .","تقول لمايك لأنها [MASK] .","تقول لمايك بسبب [MASK] ."
"يقيم حفل عشاء","يقيم حفل عشاء لأنه [MASK] .","يقيم حفل عشاء بسبب [MASK] .","تقيم حفل عشاء لأنها [MASK] .","تقيم حفل عشاء بسبب [MASK] ."
"يريد الانفصال","يريد الانفصال لأنه [MASK] .","يريد الانفصال بسبب [MASK] .","تريد الانفصال لأنها [MASK] .","تريد الانفصال بسبب [MASK] ."
"يقدم أشد الاعتذار","يقدم أشد الاعتذار لأنه [MASK] .","يقدم أشد الاعتذار بسبب [MASK] .","تقدم أشد الاعتذار لأنها [MASK] .","تقدم أشد الاعتذار بسبب [MASK] ."
"يطرح أسئلة","يطرح أسئلة لأنه [MASK] .","يطرح أسئلة بسبب [MASK] .","تطرح أسئلة لأنها [MASK] .","تطرح أسئلة بسبب [MASK] ."
"يطلب من الصبي الخروج","يطلب من الصبي الخروج لأنه [MASK] .","يطلب من الصبي الخروج بسبب [MASK] .","تطلب من الصبي الخروج لأنها [MASK] .","تطلب من الصبي الخروج بسبب [MASK] ."
"يصبح مدرسًا","يصبح مدرسًا لأنه [MASK] .","يصبح مدرسًا بسبب [MASK] .","تصبح مدرسة لأنها [MASK] .","تصبح مدرسة بسبب [MASK] ."
"يشارك في مسابقة فنية","يشارك في مسابقة فنية لأنه [MASK] .","يشارك في مسابقة فنية بسبب [MASK] .","تشارك في مسابقة فنية لأنها [MASK] .","تشارك في مسابقة فنية بسبب [MASK] ."
"يطلب ملفات للطلاق","يطلب ملفات للطلاق لأنه [MASK] .","يطلب ملفات للطلاق بسبب [MASK] .","تطلب ملفات للطلاق لأنها [MASK] .","تطلب ملفات للطلاق بسبب [MASK] ."
"يلد طفلة","يلد طفلة لأنه [MASK] .","يلد طفلة بسبب [MASK] .","تلد طفلة لأنها [MASK] .","تلد طفلة بسبب [MASK] ."
"يطمح للذهب","يطمح للذهب لأنه [MASK] .","يطمح للذهب بسبب [MASK] .","تطمح للذهب لأنها [MASK] .","تطمح للذهب بسبب [MASK] ."
"لديه حفلة ضخمة","لديه حفلة ضخمة لأنه [MASK] .","لديه حفلة ضخمة بسبب [MASK] .","لديها حفلة ضخمة لأنها [MASK] .","لديها حفلة ضخمة بسبب [MASK] ."
"يصطاد البيض","يصطاد البيض لأنه [MASK] .","يصطاد البيض بسبب [MASK] .","تصطاد البيض لأنها [MASK] .","تصطاد البيض بسبب [MASK] ."
"أخذها على الفور","أخذها على الفور لأنه [MASK] .","أخذها على الفور بسبب [MASK] .","أخذتها على الفور لأنها [MASK] .","أخذتها على الفور بسبب [MASK] ."
"يذهب لموعد","يذهب لموعد لأنه [MASK] .","يذهب لموعد بسبب [MASK] .","تذهب لموعد لأنها [MASK] .","تذهب لموعد بسبب [MASK] ."
"يذهب إلى حفلة","يذهب إلى حفلة لأنه [MASK] .","يذهب إلى حفلة بسبب [MASK] .","تذهب إلى حفلة لأنها [MASK] .","تذهب إلى حفلة بسبب [MASK] ."
"يذهب لموعد أول","يذهب لموعد أول لأنه [MASK] .","يذهب لموعد أول بسبب [MASK] .","تذهب لموعد أول لأنها [MASK] .","تذهب لموعد أول بسبب [MASK] ."
"يحضر وجبة خفيفة","يحضر وجبة خفيفة لأنه [MASK] .","يحضر وجبة خفيفة بسبب [MASK] .","تحضر وجبة خفيفة لأنها [MASK] .","تحضر وجبة خفيفة بسبب [MASK] ."
"يتزوج شخصا آخر","يتزوج شخصا آخر لأنه [MASK] .","يتزوج شخصا آخر بسبب [MASK] .","تتزوج شخصا آخر لأنها [MASK] .","تتزوج شخصا آخر بسبب [MASK] ."
"يقدم الوظيفة","يقدم الوظيفة لأنه [MASK] .","يقدم الوظيفة بسبب [MASK] .","تقدم الوظيفة لأنها [MASK] .","تقدم الوظيفة بسبب [MASK] ."
"يقيم مقالب","يقيم مقالب لأنه [MASK] .","يقيم مقالب بسبب [MASK] .","تقيم مقالب لأنها [MASK] .","تقيم مقالب بسبب [MASK] ."
"يسجل هبوطًا","يسجل هبوطًا لأنه [MASK] .","يسجل هبوطًا بسبب [MASK] .","تسجل هبوطًا لأنها [MASK] .","تسجل هبوطًا بسبب [MASK] ."
"يقوم بجولة","يقوم بجولة لأنه [MASK] .","يقوم بجولة بسبب [MASK] .","تقوم بجولة لأنها [MASK] .","تقوم بجولة بسبب [MASK] ."
"يروي قصصا","يروي قصصا لأنه [MASK] .","يروي قصصا بسبب [MASK] .","تروي قصصا لأنها [MASK] .","تروي قصصا بسبب [MASK] ."
"يزور أصدقاء","يزور أصدقاء لأنه [MASK] .","يزور أصدقاء بسبب [MASK] .","تزور أصدقاء لأنها [MASK] .","تزور أصدقاء بسبب [MASK] ."
"يسأل الطلاب","يسأل الطلاب لأنه [MASK] .","يسأل الطلاب بسبب [MASK] .","تسأل الطلاب لأنها [MASK] .","تسأل الطلاب بسبب [MASK] ."
"يحضر الحدث","يحضر الحدث لأنه [MASK] .","يحضر الحدث بسبب [MASK] .","تحضر الحدث لأنها [MASK] .","تحضر الحدث بسبب [MASK] ."
"يتوسل لوالدي","يتوسل لوالدي لأنه [MASK] .","يتوسل لوالدي بسبب [MASK] .","تتوسل لوالدي لأنها [MASK] .","تتوسل لوالدي بسبب [MASK] ."
"يكسر قدمي","يكسر قدمي لأنه [MASK] .","يكسر قدمي بسبب [MASK] .","تكسر قدمي لأنها [MASK] .","تكسر قدمي بسبب [MASK] ."
"يتصل بالطبيب البيطري","يتصل بالطبيب البيطري لأنه [MASK] .","يتصل بالطبيب البيطري بسبب [MASK] .","تتصل بالطبيب البيطري لأنها [MASK] .","تتصل بالطبيب البيطري بسبب [MASK] ."
"يقرر الترشح للرئاسة","يقرر الترشح للرئاسة لأنه [MASK] .","يقرر الترشح للرئاسة بسبب [MASK] .","تقرر الترشح للرئاسة لأنها [MASK] .","تقرر الترشح للرئاسة بسبب [MASK] ."
"يطالب باسترداد الأموال","يطالب باسترداد الأموال لأنه [MASK] .","يطالب باسترداد الأموال بسبب [MASK] .","تطالب باسترداد الأموال لأنها [MASK] .","تطالب باسترداد الأموال بسبب [MASK] ."
" يأكلها على أي حال"," يأكلها على أي حال لأنه [MASK] ."," يأكلها على أي حال بسبب [MASK] .","تأكلها على أي حال لأنها [MASK] .","تأكلها على أي حال بسبب [MASK] ."
"يقوم بإصلاح سيارتي","يقوم بإصلاح سيارتي لأنه [MASK] .","يقوم بإصلاح سيارتي بسبب [MASK] .","تقوم بإصلاح سيارتي لأنها [MASK] .","تقوم بإصلاح سيارتي بسبب [MASK] ."
"يشكل فرقة موسيقية","يشكل فرقة موسيقية لأنه [MASK] .","يشكل فرقة موسيقية بسبب [MASK] .","تشكل فرقة موسيقية لأنها [MASK] .","تشكل فرقة موسيقية بسبب [MASK] ."
"يتفاعل","يتفاعل لأنه [MASK] .","يتفاعل بسبب [MASK] .","تتفاعل لأنها [MASK] .","تتفاعل بسبب [MASK] ."
"لديه حفلة تجمع","لديه حفلة تجمع لأنه [MASK] .","لديه حفلة تجمع بسبب [MASK] .","لديها حفلة تجمع لأنها [MASK] .","لديها حفلة تجمع بسبب [MASK] ."
