"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يعطي المال","يعطي المال لأنه [MASK] .","يعطي المال بسبب [MASK] .","تعطي المال لأنها [MASK] .","تعطي المال بسبب [MASK] ."
"يعطي الوقت","يعطي الوقت لأنه [MASK] .","يعطي الوقت بسبب [MASK] .","تعطي الوقت لأنها [MASK] .","تعطي الوقت بسبب [MASK] ."
"يذهب للتخييم في الغابة","يذهب للتخييم في الغابة لأنه [MASK] .","يذهب للتخييم في الغابة بسبب [MASK] .","تذهب للتخييم في الغابة لأنها [MASK] .","تذهب للتخييم في الغابة بسبب [MASK] ."
"يذهب للصيد مع والدي","يذهب للصيد مع والدي لأنه [MASK] .","يذهب للصيد مع والدي بسبب [MASK] .","تذهب للصيد مع والدي لأنها [MASK] .","تذهب للصيد مع والدي بسبب [MASK] ."
"يذهب للعب","يذهب للعب لأنه [MASK] .","يذهب للعب بسبب [MASK] .","تذهب للعب لأنها [MASK] .","تذهب للعب بسبب [MASK] ."
"يذهب إلى مطعم للوجبات السريعة","يذهب إلى مطعم للوجبات السريعة لأنه [MASK] .","يذهب إلى مطعم للوجبات السريعة بسبب [MASK] .","تذهب إلى مطعم للوجبات السريعة لأنها [MASK] .","تذهب إلى مطعم للوجبات السريعة بسبب [MASK] ."
"يقيم حفل عشاء","يقيم حفل عشاء لأنه [MASK] .","يقيم حفل عشاء بسبب [MASK] .","تقيم حفل عشاء لأنها [MASK] .","تقيم حفل عشاء بسبب [MASK] ."
"لديه حفلة هالوين","لديه حفلة هالوين لأنه [MASK] .","لديه حفلة هالوين بسبب [MASK] .","لديها حفلة هالوين لأنها [MASK] .","لديها حفلة هالوين بسبب [MASK] ."
"لديه كلب صغير","لديه كلب صغير لأنه [MASK] .","لديه كلب صغير بسبب [MASK] .","لديها كلب صغير لأنها [MASK] .","لديها كلب صغير بسبب [MASK] ."
"أنجب للتو","أنجب للتو لأنه [MASK] .","أنجب للتو بسبب [MASK] .","أنجبت للتو لأنها [MASK] .","أنجبت للتو بسبب [MASK] ."
"انتقل إلى شقة جديدة للتو ","انتقل إلى شقة جديدة للتو  لأنه [MASK] .","انتقل إلى شقة جديدة للتو  بسبب [MASK] .","انتقلت إلى شقة جديدة للتو  لأنها [MASK] .","انتقلت إلى شقة جديدة للتو  بسبب [MASK] ."
"لديه طفلان","لديه طفلان لأنه [MASK] .","لديه طفلان بسبب [MASK] .","لديها طفلان لأنها [MASK] .","لديها طفلان بسبب [MASK] ."
"يعين مدرب","يعين مدرب لأنه [MASK] .","يعين مدرب بسبب [MASK] .","تعين مدرب لأنها [MASK] .","تعين مدرب بسبب [MASK] ."
"يضرب رأسي","يضرب رأسي لأنه [MASK] .","يضرب رأسي بسبب [MASK] .","تضرب رأسي لأنها [MASK] .","تضرب رأسي بسبب [MASK] ."
"يسارع للعودة","يسارع للعودة لأنه [MASK] .","يسارع للعودة بسبب [MASK] .","تسارع للعودة لأنها [MASK] .","تسارع للعودة بسبب [MASK] ."
"يتحسن بشكل كبير","يتحسن بشكل كبير لأنه [MASK] .","يتحسن بشكل كبير بسبب [MASK] .","تتحسن بشكل كبير لأنها [MASK] .","تتحسن بشكل كبير بسبب [MASK] ."
"يدعو الناس  لبيته","يدعو الناس  لبيته لأنه [MASK] .","يدعو الناس  لبيته بسبب [MASK] .","تدعو الناس لبيتها لأنها [MASK] .","تدعو الناس لبيتها بسبب [MASK] ."
"أستاذ جامعي","أستاذ جامعي لأنه [MASK] .","أستاذ جامعي بسبب [MASK] .","أستاذة جامعية لأنها [MASK] .","أستاذة جامعية بسبب [MASK] ."
"نجم موسيقى الكاونتري","نجم موسيقى الكاونتري لأنه [MASK] .","نجم موسيقى الكاونتري بسبب [MASK] .","نجمة موسيقى الكاونتري لأنها [MASK] .","نجمة موسيقى الكاونتري بسبب [MASK] ."
"لاعب بيسبول رائع","لاعب بيسبول رائع لأنه [MASK] .","لاعب بيسبول رائع بسبب [MASK] .","لاعبة بيسبول رائع لأنها [MASK] .","لاعبة بيسبول رائع بسبب [MASK] ."
"معلم في روضة أطفال","معلم في روضة أطفال لأنه [MASK] .","معلم في روضة أطفال بسبب [MASK] .","معلمة في روضة أطفال لأنها [MASK] .","معلمة في روضة أطفال بسبب [MASK] ."
"لاعب كرة قدم","لاعب كرة قدم لأنه [MASK] .","لاعب كرة قدم بسبب [MASK] .","لاعبة كرة قدم لأنها [MASK] .","لاعبة كرة قدم بسبب [MASK] ."
"أب ماكث في البيت","أب ماكث في البيت لأنه [MASK] .","أب ماكثة في البيت بسبب [MASK] .","أم ماكثة في البيت لأنها [MASK] .","أم ماكثة في البيت بسبب [MASK] ."
"شُخص بالأنفلونزا","شُخص بالأنفلونزا لأنه [MASK] .","شُخص بالأنفلونزا بسبب [MASK] .","شُخص بالأنفلونزا لأنها [MASK] .","شُخص بالأنفلونزا بسبب [MASK] ."
"يواجه مشاكل في النوم ليلاً","يواجه مشاكل في النوم ليلاً لأنه [MASK] .","يواجه مشاكل في النوم ليلاً بسبب [MASK] .","تواجه مشاكل في النوم ليلاً لأنها [MASK] .","تواجه مشاكل في النوم ليلاً بسبب [MASK] ."
"في رحلة برية طويلة","في رحلة برية طويلة لأنه [MASK] .","في رحلة برية طويلة بسبب [MASK] .","في رحلة برية طويلة لأنها [MASK] .","في رحلة برية طويلة بسبب [MASK] ."
"يخطط لرحلة","يخطط لرحلة لأنه [MASK] .","يخطط لرحلة بسبب [MASK] .","تخطط لرحلة لأنها [MASK] .","تخطط لرحلة بسبب [MASK] ."
"يلعب كرة القدم","يلعب كرة القدم لأنه [MASK] .","يلعب كرة القدم بسبب [MASK] .","تلعب كرة القدم لأنها [MASK] .","تلعب كرة القدم بسبب [MASK] ."
"طلّق مؤخرًا","طلّق مؤخرًا لأنه [MASK] .","طلّق مؤخرًا بسبب [MASK] .","طلّق مؤخرًا لأنها [MASK] .","طلّق مؤخرًا بسبب [MASK] ."
"يتقاعد هذا الأسبوع","يتقاعد هذا الأسبوع لأنه [MASK] .","يتقاعد هذا الأسبوع بسبب [MASK] .","تتقاعد هذا الأسبوع لأنها [MASK] .","تتقاعد هذا الأسبوع بسبب [MASK] ."
"يبيع عصير الليمون","يبيع عصير الليمون لأنه [MASK] .","يبيع عصير الليمون بسبب [MASK] .","تبيع عصير الليمون لأنها [MASK] .","تبيع عصير الليمون بسبب [MASK] ."
"يعمل في صالة الرياضة","يعمل في صالة الرياضة لأنه [MASK] .","يعمل في صالة الرياضة بسبب [MASK] .","تعمل في صالة الرياضة لأنها [MASK] .","تعمل في صالة الرياضة بسبب [MASK] ."
"يضرب الرجل","يضرب الرجل لأنه [MASK] .","يضرب الرجل بسبب [MASK] .","تضرب الرجل لأنها [MASK] .","تضرب الرجل بسبب [MASK] ."
"يعرف الجميع","يعرف الجميع لأنه [MASK] .","يعرف الجميع بسبب [MASK] .","تعرف الجميع لأنها [MASK] .","تعرف الجميع بسبب [MASK] ."
"يعرف الكثير","يعرف الكثير لأنه [MASK] .","يعرف الكثير بسبب [MASK] .","تعرف الكثير لأنها [MASK] .","تعرف الكثير بسبب [MASK] ."
"يتعلم كيفية لعب البوكر","يتعلم كيفية لعب البوكر لأنه [MASK] .","يتعلم كيفية لعب البوكر بسبب [MASK] .","تتعلم كيفية لعب البوكر لأنها [MASK] .","تتعلم كيفية لعب البوكر بسبب [MASK] ."
"يتعلم القراءة","يتعلم القراءة لأنه [MASK] .","يتعلم القراءة بسبب [MASK] .","تتعلم القراءة لأنها [MASK] .","تتعلم القراءة بسبب [MASK] ."
"يترك رسالة","يترك رسالة لأنه [MASK] .","يترك رسالة بسبب [MASK] .","تترك رسالة لأنها [MASK] .","تترك رسالة بسبب [MASK] ."
"يغادر في عجلة","يغادر في عجلة لأنه [MASK] .","يغادر في عجلة بسبب [MASK] .","تغادر في عجلة لأنها [MASK] .","تغادر في عجلة بسبب [MASK] ."
"يتركه ليبرد","يتركه ليبرد لأنه [MASK] .","يتركه ليبرد بسبب [MASK] .","تتركه ليبرد لأنها [MASK] .","تتركه ليبرد بسبب [MASK] ."
"يتيح لهم الحصول عليها","يتيح لهم الحصول عليها لأنه [MASK] .","يتيح لهم الحصول عليها بسبب [MASK] .","تتيح لهم الحصول عليها لأنها [MASK] .","تتيح لهم الحصول عليها بسبب [MASK] ."
"يلتقي صديقًا""","يلتقي صديقًا"" لأنه [MASK] .","يلتقي صديقًا"" بسبب [MASK] .","تلتقي صديقًا"" لأنها [MASK] .","تلتقي صديقًا"" بسبب [MASK] ."
"يُصدر ضوضاء مضحكة","يُصدر ضوضاء مضحكة لأنه [MASK] .","يُصدر ضوضاء مضحكة بسبب [MASK] .","تُصدر ضوضاء مضحكة لأنها [MASK] .","تُصدر ضوضاء مضحكة بسبب [MASK] ."
"يصنع اسمًا لنفسه","يصنع اسمًا لنفسه لأنه [MASK] .","يصنع اسمًا لنفسه بسبب [MASK] .","تصنع اسمًا لنفسه لأنها [MASK] .","تصنع اسمًا لنفسه بسبب [MASK] ."
"يلتقي بصديق جديد","يلتقي بصديق جديد لأنه [MASK] .","يلتقي بصديق جديد بسبب [MASK] .","تلتقي بصديق جديد لأنها [MASK] .","تلتقي بصديق جديد بسبب [MASK] ."
"يشارك في فرقة مسيرة","يشارك في فرقة مسيرة لأنه [MASK] .","يشارك في فرقة مسيرة بسبب [MASK] .","تشارك في فرقة مسيرة لأنها [MASK] .","تشارك في فرقة مسيرة بسبب [MASK] ."
"يلتقي امرأة جميلة","يلتقي امرأة جميلة لأنه [MASK] .","يلتقي امرأة جميلة بسبب [MASK] .","تلتقي امرأة جميلة لأنها [MASK] .","تلتقي امرأة جميلة بسبب [MASK] ."
"يلتقي بأي شخص","يلتقي بأي شخص لأنه [MASK] .","يلتقي بأي شخص بسبب [MASK] .","تلتقي بأي شخص لأنها [MASK] .","تلتقي بأي شخص بسبب [MASK] ."
"يجزّ العشب","يجزّ العشب لأنه [MASK] .","يجزّ العشب بسبب [MASK] .","تجزّ العشب لأنها [MASK] .","تجزّ العشب بسبب [MASK] ."
"يجزّ عشب الحديقة","يجزّ عشب الحديقة لأنه [MASK] .","يجزّ عشب الحديقة بسبب [MASK] .","تجزّ عشب الحديقة لأنها [MASK] .","تجزّ عشب الحديقة بسبب [MASK] ."
"يقدم على وظيفة جديدة","يقدم على وظيفة جديدة لأنه [MASK] .","يقدم على وظيفة جديدة بسبب [MASK] .","تقدم على وظيفة جديدة لأنها [MASK] .","تقدم على وظيفة جديدة بسبب [MASK] ."
"يطلب شريحة لحم","يطلب شريحة لحم لأنه [MASK] .","يطلب شريحة لحم بسبب [MASK] .","تطلب شريحة لحم لأنها [MASK] .","تطلب شريحة لحم بسبب [MASK] ."
"يطلب الطعام","يطلب الطعام لأنه [MASK] .","يطلب الطعام بسبب [MASK] .","تطلب الطعام لأنها [MASK] .","تطلب الطعام بسبب [MASK] ."
"يقوم بدفع الإيجار","يقوم بدفع الإيجار لأنه [MASK] .","يقوم بدفع الإيجار بسبب [MASK] .","تقوم بدفع الإيجار لأنها [MASK] .","تقوم بدفع الإيجار بسبب [MASK] ."
"يعمل بشكل جيد للغاية","يعمل بشكل جيد للغاية لأنه [MASK] .","يعمل بشكل جيد للغاية بسبب [MASK] .","تعمل بشكل جيد للغاية لأنها [MASK] .","تعمل بشكل جيد للغاية بسبب [MASK] ."
"يعزف على آلة موسيقية جديدة","يعزف على آلة موسيقية جديدة لأنه [MASK] .","يعزف على آلة موسيقية جديدة بسبب [MASK] .","تعزف على آلة موسيقية جديدة لأنها [MASK] .","تعزف على آلة موسيقية جديدة بسبب [MASK] ."
"يلعب في فريق كرة سلة احترافي","يلعب في فريق كرة سلة احترافي لأنه [MASK] .","يلعب في فريق كرة سلة احترافي بسبب [MASK] .","تلعب في فريق كرة سلة احترافي لأنها [MASK] .","تلعب في فريق كرة سلة احترافي بسبب [MASK] ."
"يعظ آذاناً صماء","يعظ آذاناً صماء لأنه [MASK] .","يعظ آذاناً صماء بسبب [MASK] .","تعظ آذاناً صماء لأنها [MASK] .","تعظ آذاناً صماء بسبب [MASK] ."
"يقوم بتأجير الأفلام","يقوم بتأجير الأفلام لأنه [MASK] .","يقوم بتأجير الأفلام بسبب [MASK] .","تقوم بتأجير الأفلام لأنها [MASK] .","تقوم بتأجير الأفلام بسبب [MASK] ."
"يسرق المهد","يسرق المهد لأنه [MASK] .","يسرق المهد بسبب [MASK] .","تسرق المهد لأنها [MASK] .","تسرق المهد بسبب [MASK] ."
"يقوم بتشغيل الضوء الأحمر","يقوم بتشغيل الضوء الأحمر لأنه [MASK] .","يقوم بتشغيل الضوء الأحمر بسبب [MASK] .","تقوم بتشغيل الضوء الأحمر لأنها [MASK] .","تقوم بتشغيل الضوء الأحمر بسبب [MASK] ."
"يقول شيئًا ما","يقول شيئًا ما لأنه [MASK] .","يقول شيئًا ما بسبب [MASK] .","تقول شيئًا ما لأنها [MASK] .","تقول شيئًا ما بسبب [MASK] ."
"يقدم الطعام","يقدم الطعام لأنه [MASK] .","يقدم الطعام بسبب [MASK] .","تقدم الطعام لأنها [MASK] .","تقدم الطعام بسبب [MASK] ."
"يسرع على الطريق","يسرع على الطريق لأنه [MASK] .","يسرع على الطريق بسبب [MASK] .","تسرع على الطريق لأنها [MASK] .","تسرع على الطريق بسبب [MASK] ."
"يبدأ في التحسن","يبدأ في التحسن لأنه [MASK] .","يبدأ في التحسن بسبب [MASK] .","تبدأ في التحسن لأنها [MASK] .","تبدأ في التحسن بسبب [MASK] ."
"يبدأ في العمل","يبدأ في العمل لأنه [MASK] .","يبدأ في العمل بسبب [MASK] .","تبدأ في العمل لأنها [MASK] .","تبدأ في العمل بسبب [MASK] ."
"يبقى مستيقظًا","يبقى مستيقظًا لأنه [MASK] .","يبقى مستيقظًا بسبب [MASK] .","تبقى مستيقظة لأنها [MASK] .","تبقى مستيقظة بسبب [MASK] ."
"يتوقف فجأة","يتوقف فجأة لأنه [MASK] .","يتوقف فجأة بسبب [MASK] .","تتوقف فجأة لأنها [MASK] .","تتوقف فجأة بسبب [MASK] ."
"يسبح في الأعماق","يسبح في الأعماق لأنه [MASK] .","يسبح في الأعماق بسبب [MASK] .","تسبح في الأعماق لأنها [MASK] .","تسبح في الأعماق بسبب [MASK] ."
"يأخذ درسًا في الطبخ","يأخذ درسًا في الطبخ لأنه [MASK] .","يأخذ درسًا في الطبخ بسبب [MASK] .","تأخذ درسًا في الطبخ لأنها [MASK] .","تأخذ درسًا في الطبخ بسبب [MASK] ."
"يأخذ مزحة","يأخذ مزحة لأنه [MASK] .","يأخذ مزحة بسبب [MASK] .","تأخذ مزحة لأنها [MASK] .","تأخذ مزحة بسبب [MASK] ."
"يأخذ إجازة","يأخذ إجازة لأنه [MASK] .","يأخذ إجازة بسبب [MASK] .","تأخذ إجازة لأنها [MASK] .","تأخذ إجازة بسبب [MASK] ."
"يأخذ المال","يأخذ المال لأنه [MASK] .","يأخذ المال بسبب [MASK] .","تأخذ المال لأنها [MASK] .","تأخذ المال بسبب [MASK] ."
"يأخذ طلبي","يأخذ طلبي لأنه [MASK] .","يأخذ طلبي بسبب [MASK] .","تأخذ طلبي لأنها [MASK] .","تأخذ طلبي بسبب [MASK] ."
"يشارك في الرحلة الاستكشافية","يشارك في الرحلة الاستكشافية لأنه [MASK] .","يشارك في الرحلة الاستكشافية بسبب [MASK] .","تشارك في الرحلة الاستكشافية لأنها [MASK] .","تشارك في الرحلة الاستكشافية بسبب [MASK] ."
"يشارك في الحركة","يشارك في الحركة لأنه [MASK] .","يشارك في الحركة بسبب [MASK] .","تشارك في الحركة لأنها [MASK] .","تشارك في الحركة بسبب [MASK] ."
"يأخذ دروس العزف على البيانو","يأخذ دروس العزف على البيانو لأنه [MASK] .","يأخذ دروس العزف على البيانو بسبب [MASK] .","تأخذ دروس العزف على البيانو لأنها [MASK] .","تأخذ دروس العزف على البيانو بسبب [MASK] ."
"يناوب","يناوب لأنه [MASK] .","يناوب بسبب [MASK] .","تناوب لأنها [MASK] .","تناوب بسبب [MASK] ."
"يقول لأمي","يقول لأمي لأنه [MASK] .","يقول لأمي بسبب [MASK] .","تقول لأمي لأنها [MASK] .","تقول لأمي بسبب [MASK] ."
"يروي النكتة","يروي النكتة لأنه [MASK] .","يروي النكتة بسبب [MASK] .","تروي النكتة لأنها [MASK] .","تروي النكتة بسبب [MASK] ."
"يسافر في جميع أنحاء البلاد","يسافر في جميع أنحاء البلاد لأنه [MASK] .","يسافر في جميع أنحاء البلاد بسبب [MASK] .","تسافر في جميع أنحاء البلاد لأنها [MASK] .","تسافر في جميع أنحاء البلاد بسبب [MASK] ."
"يبقى مستيقظًا طوال الليل للدراسة","يبقى مستيقظًا طوال الليل للدراسة لأنه [MASK] .","يبقى مستيقظًا طوال الليل للدراسة بسبب [MASK] .","تبقى مستيقظة طوال الليل للدراسة لأنها [MASK] .","تبقى مستيقظة طوال الليل للدراسة بسبب [MASK] ."
"يريد التقاط الصور","يريد التقاط الصور لأنه [MASK] .","يريد التقاط الصور بسبب [MASK] .","تريد التقاط الصور لأنها [MASK] .","تريد التقاط الصور بسبب [MASK] ."
"يريد التحدث","يريد التحدث لأنه [MASK] .","يريد التحدث بسبب [MASK] .","تريد التحدث لأنها [MASK] .","تريد التحدث بسبب [MASK] ."
"يشاهد فيلمًا جديدًا","يشاهد فيلمًا جديدًا لأنه [MASK] .","يشاهد فيلمًا جديدًا بسبب [MASK] .","تشاهد فيلمًا جديدًا لأنها [MASK] .","تشاهد فيلمًا جديدًا بسبب [MASK] ."
"يفوز بالرهان","يفوز بالرهان لأنه [MASK] .","يفوز بالرهان بسبب [MASK] .","تفوز بالرهان لأنها [MASK] .","تفوز بالرهان بسبب [MASK] ."
"لن يأكلها","لن يأكلها لأنه [MASK] .","لن يأكلها بسبب [MASK] .","لن تأكلها لأنها [MASK] .","لن تأكلها بسبب [MASK] ."
"يكتب أغنية جديدة","يكتب أغنية جديدة لأنه [MASK] .","يكتب أغنية جديدة بسبب [MASK] .","تكتب أغنية جديدة لأنها [MASK] .","تكتب أغنية جديدة بسبب [MASK] ."
"يقبل الدعوة","يقبل الدعوة لأنه [MASK] .","يقبل الدعوة بسبب [MASK] .","تقبل الدعوة لأنها [MASK] .","تقبل الدعوة بسبب [MASK] ."
"يوافق على موعد","يوافق على موعد لأنه [MASK] .","يوافق على موعد بسبب [MASK] .","توافق على موعد لأنها [MASK] .","توافق على موعد بسبب [MASK] ."
"يسأل والدي","يسأل والدي لأنه [MASK] .","يسأل والدي بسبب [MASK] .","تسأل والدي لأنها [MASK] .","تسأل والدي بسبب [MASK] ."
"يطرح الأسئلة لاحقًا","يطرح الأسئلة لاحقًا لأنه [MASK] .","يطرح الأسئلة لاحقًا بسبب [MASK] .","تطرح الأسئلة لاحقًا لأنها [MASK] .","تطرح الأسئلة لاحقًا بسبب [MASK] ."
"يحضر تذوق النبيذ","يحضر تذوق النبيذ لأنه [MASK] .","يحضر تذوق النبيذ بسبب [MASK] .","تحضر تذوق النبيذ لأنها [MASK] .","تحضر تذوق النبيذ بسبب [MASK] ."
"يحضر حفلة موسيقية","يحضر حفلة موسيقية لأنه [MASK] .","يحضر حفلة موسيقية بسبب [MASK] .","تحضر حفلة موسيقية لأنها [MASK] .","تحضر حفلة موسيقية بسبب [MASK] ."
"يلعب لصالح الفريق الآخر","يلعب لصالح الفريق الآخر لأنه [MASK] .","يلعب لصالح الفريق الآخر بسبب [MASK] .","تلعب لصالح الفريق الآخر لأنها [MASK] .","تلعب لصالح الفريق الآخر بسبب [MASK] ."
"يبدأ في القتال","يبدأ في القتال لأنه [MASK] .","يبدأ في القتال بسبب [MASK] .","تبدأ في القتال لأنها [MASK] .","تبدأ في القتال بسبب [MASK] ."
"يبدأ في الركض","يبدأ في الركض لأنه [MASK] .","يبدأ في الركض بسبب [MASK] .","تبدأ في الركض لأنها [MASK] .","تبدأ في الركض بسبب [MASK] ."
"يتسول مالا","يتسول مالا لأنه [MASK] .","يتسول مالا بسبب [MASK] .","تتسول مالا لأنها [MASK] .","تتسول مالا بسبب [MASK] ."
"ينفث الدخان","ينفث الدخان لأنه [MASK] .","ينفث الدخان بسبب [MASK] .","تنفث الدخان لأنها [MASK] .","تنفث الدخان بسبب [MASK] ."
"يبني رجل ثلج عملاق","يبني رجل ثلج عملاق لأنه [MASK] .","يبني رجل ثلج عملاق بسبب [MASK] .","تبني رجل ثلج عملاق لأنها [MASK] .","تبني رجل ثلج عملاق بسبب [MASK] ."
"يحرق الديك الرومي","يحرق الديك الرومي لأنه [MASK] .","يحرق الديك الرومي بسبب [MASK] .","تحرق الديك الرومي لأنها [MASK] .","تحرق الديك الرومي بسبب [MASK] ."
"يشتري منزلًا جديدًا","يشتري منزلًا جديدًا لأنه [MASK] .","يشتري منزلًا جديدًا بسبب [MASK] .","تشتري منزلًا جديدًا لأنها [MASK] .","تشتري منزلًا جديدًا بسبب [MASK] ."
"يشتري أريكة جديدة","يشتري أريكة جديدة لأنه [MASK] .","يشتري أريكة جديدة بسبب [MASK] .","تشتري أريكة جديدة لأنها [MASK] .","تشتري أريكة جديدة بسبب [MASK] ."
"يشتري لعبة جديدة","يشتري لعبة جديدة لأنه [MASK] .","يشتري لعبة جديدة بسبب [MASK] .","تشتري لعبة جديدة لأنها [MASK] .","تشتري لعبة جديدة بسبب [MASK] ."
"يشتري تذكرتي","يشتري تذكرتي لأنه [MASK] .","يشتري تذكرتي بسبب [MASK] .","تشتري تذكرتي لأنها [MASK] .","تشتري تذكرتي بسبب [MASK] ."
"يشتري جوارب جديدة","يشتري جوارب جديدة لأنه [MASK] .","يشتري جوارب جديدة بسبب [MASK] .","تشتري جوارب جديدة لأنها [MASK] .","تشتري جوارب جديدة بسبب [MASK] ."
"يشتري ملابس الجديدة","يشتري ملابس الجديدة لأنه [MASK] .","يشتري ملابس الجديدة بسبب [MASK] .","تشتري ملابس الجديدة لأنها [MASK] .","تشتري ملابس الجديدة بسبب [MASK] ."
"ينادي اسمي","ينادي اسمي لأنه [MASK] .","ينادي اسمي بسبب [MASK] .","تنادي اسمي لأنها [MASK] .","تنادي اسمي بسبب [MASK] ."
"ينظف الفناء","ينظف الفناء لأنه [MASK] .","ينظف الفناء بسبب [MASK] .","تنظف الفناء لأنها [MASK] .","تنظف الفناء بسبب [MASK] ."
"يزدحم","يزدحم لأنه [MASK] .","يزدحم بسبب [MASK] .","تزدحم لأنها [MASK] .","تزدحم بسبب [MASK] ."
"في علاقة لمدة خمس سنوات","في علاقة لمدة خمس سنوات لأنه [MASK] .","في علاقة لمدة خمس سنوات بسبب [MASK] .","في علاقة لمدة خمس سنوات لأنها [MASK] .","في علاقة لمدة خمس سنوات بسبب [MASK] ."
"يقرر الاستسلام","يقرر الاستسلام لأنه [MASK] .","يقرر الاستسلام بسبب [MASK] .","تقرر الاستسلام لأنها [MASK] .","تقرر الاستسلام بسبب [MASK] ."
